name,country_name,longitude,latitude,population,significance
Huai'an,China,33.58861,119.01917,2494013,26188123171
Dakar,Senegal,14.6937,-17.44406,2476400,3684282200
Lucknow,India,26.83928,80.92313,2472011,4698568141
Giza,Egypt,30.00944,31.20861,2443203,8668168700
Fortaleza,Brazil,-3.71722,-38.54306,2400000,16312426901
Cali,Colombia,3.43722,-76.5225,2392877,12760671112
Surabaya,Indonesia,-7.24917,112.75083,2374658,9188949115
Belo Horizonte,Brazil,-19.92083,-43.93778,2373224,16130434592
Nanchang,China,28.68396,115.85306,2357839,24758242299
Rome,Italy,41.89193,12.51133,2318895,73453786666
Mashhad,Iran,36.29807,59.60567,2307177,5266251163
Linyi,China,35.06306,118.34278,2303648,24189215360
Brooklyn,United States,40.6501,-73.94958,2300664,146192421850
Houston,United States,29.76328,-95.36327,2296224,145910288364
Nantong,China,32.03028,120.87472,2273326,23870822364
Queens,United States,40.68149,-73.83652,2272771,144420000834
Nagpur,India,21.14631,79.08491,2228018,4234808985
Yantai,China,37.47649,121.44081,2227733,23392077827
Maracaibo,Venezuela,10.66663,-71.61245,2225000,37742707680
Brasília,Brazil,-15.77972,-47.92972,2207718,15005516039
Santo Domingo,Dominican Republic,18.47186,-69.89232,2201941,16004140771
Nagoya,Japan,35.18147,136.90641,2191279,86640715818
Brisbane,Australia,-27.46794,153.02809,2189878,113462296259
